study_hours,attendance,past_score,internet,sleeping_hours,passed
2.5,85,78,yes,7,yes
1.0,60,55,no,6,no
3.0,90,88,yes,8,yes
0.5,50,40,no,5,no
4.0,95,92,yes,7,yes
2.0,70,65,no,6,yes
1.5,65,58,yes,6,no
3.5,88,80,yes,8,yes
2.2,75,70,no,7,yes
0.8,55,45,no,5,no
4.5,98,95,yes,8,yes
1.8,68,60,yes,6,no
3.2,85,82,no,7,yes
2.7,78,75,yes,7,yes
0.6,52,42,no,5,no
3.8,92,89,yes,8,yes
2.4,80,72,no,7,yes
1.2,63,50,no,6,no
4.2,97,94,yes,7,yes
0.9,58,48,no,5,no
3.6,87,83,yes,8,yes
2.1,73,68,no,7,yes
1.4,66,54,no,6,no
4.8,99,97,yes,8,yes
0.7,53,44,no,5,no
3.3,84,79,yes,7,yes
2.9,77,74,no,7,yes
1.6,69,59,yes,6,no
4.1,96,93,yes,8,yes
0.4,49,38,no,5,no
